,Open,Close,High,Low
719,16540,16541,16541,16540
720,16541,16539,16541,16539
721,16539,16538,16539,16538
722,16538,16537,16538,16537
723,16537,16536,16537,16536
724,16536,16535,16536,16535
725,16535,16534,16535,16534
726,16534,16533,16534,16533
727,16533,16532,16533,16532
728,16532,16531,16532,16531
729,16531,16530,16531,16530
730,16530,16529,16530,16529
731,16529,16528,16529,16528
732,16528,16527,16528,16527
733,16527,16526,16527,16526
734,16526,16525,16526,16525
735,16525,16524,16525,16524
736,16524,16523,16524,16523
737,16523,16522,16523,16522
738,16522,16524,16524,16522
739,16524,16525,16525,16524
740,16525,16526,16526,16525
741,16526,16527,16527,16526
742,16527,16528,16528,16527
743,16528,16529,16529,16528
744,16529,16527,16529,16527
745,16527,16526,16527,16526
746,16526,16525,16526,16525
747,16525,16527,16527,16525
748,16527,16528,16528,16527
749,16528,16526,16528,16526
750,16526,16525,16526,16525
751,16525,16524,16525,16524
752,16524,16526,16526,16524
753,16526,16527,16527,16526
754,16527,16528,16528,16527
755,16528,16529,16529,16528
756,16529,16530,16530,16529
757,16530,16531,16531,16530
758,16531,16532,16532,16531
759,16532,16533,16533,16532
760,16533,16534,16534,16533
761,16534,16535,16535,16534
762,16535,16536,16536,16535
763,16536,16537,16537,16536
764,16537,16538,16538,16537
765,16538,16539,16539,16538
766,16539,16540,16540,16539
767,16540,16541,16541,16540
768,16541,16542,16542,16541
769,16542,16543,16543,16542
770,16543,16544,16544,16543
771,16544,16545,16545,16544
772,16545,16546,16546,16545
773,16546,16547,16547,16546
774,16547,16548,16548,16547
775,16548,16549,16549,16548
776,16549,16550,16550,16549
777,16550,16551,16551,16550
778,16551,16552,16552,16551
779,16552,16553,16553,16552
780,16553,16554,16554,16553
781,16554,16555,16555,16554
782,16555,16556,16556,16555
783,16556,16557,16557,16556
784,16557,16558,16558,16557
785,16558,16556,16558,16556
786,16556,16558,16558,16556
787,16558,16559,16559,16558
788,16559,16560,16560,16559
789,16560,16558,16560,16558
790,16558,16557,16558,16557
791,16557,16559,16559,16557
792,16559,16560,16560,16559
793,16560,16561,16561,16560
794,16561,16562,16562,16561
795,16562,16563,16563,16562
796,16563,16564,16564,16563
797,16564,16565,16565,16564
798,16565,16566,16566,16565
799,16566,16567,16567,16566
800,16567,16568,16568,16567
801,16568,16569,16569,16568
802,16569,16570,16570,16569
803,16570,16571,16571,16570
804,16571,16572,16572,16571
805,16572,16573,16573,16572
806,16573,16574,16574,16573
807,16574,16575,16575,16574
808,16575,16576,16576,16575
809,16576,16577,16577,16576
810,16577,16578,16578,16577
811,16578,16579,16579,16578
812,16579,16580,16580,16579
813,16580,16581,16581,16580
814,16581,16579,16581,16579
815,16579,16578,16579,16578
816,16578,16580,16580,16578
817,16580,16581,16581,16580
818,16581,16579,16581,16579
819,16579,16578,16579,16578
820,16578,16577,16578,16577
821,16577,16579,16579,16577
822,16579,16577,16579,16577
823,16577,16579,16579,16577
824,16579,16577,16579,16577
825,16577,16576,16577,16576
826,16576,16575,16576,16575
827,16575,16574,16575,16574
828,16574,16573,16574,16573
829,16573,16572,16573,16572
830,16572,16571,16572,16571
831,16571,16570,16571,16570
832,16570,16569,16570,16569
833,16569,16571,16571,16569
834,16571,16572,16572,16571
835,16572,16573,16573,16572
836,16573,16574,16574,16573
837,16574,16572,16574,16572
838,16572,16571,16572,16571
839,16571,16570,16571,16570
840,16570,16569,16570,16569
841,16569,16568,16569,16568
842,16568,16567,16568,16567
